scene,active,interactable,hierarchy,center,size,persistentEvents,invalidEvents,callbacks,behaviours,openTargets
Loading,True,True,"Canvas/RawImage 2/RawImage 1/RawImage 10/128","(321.2, 238.9)","(550.2, 467.8)",0,0,"","Image;Button;ButtonSound",""
Loading,True,True,"Canvas/RawImage 2/RawImage 1/RawImage 10/Button111","(482.0, 397.9)","(28.5, 26.1)",1,0,"Zhu.GoNextScene","Image;Button;ButtonSound;guanbi;Zhu",""
Loading,True,True,"Canvas/RawImage 2/RawImage 1/RawImage 10/Button111","(227.3, 396.1)","(62.8, 33.7)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;guanbi;Kaiqi","Canvas/RawImage 2/RawImage 1/RawImage 9"
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/128","(321.2, 238.9)","(550.2, 467.8)",0,0,"","Image;Button;ButtonSound",""
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/Button111","(482.0, 397.9)","(28.5, 26.1)",1,0,"Zhu.GoNextScene","Image;Button;ButtonSound;Zhu",""
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/Button111","(321.3, 169.5)","(64.0, 30.0)",2,0,"DHM.OnButton;AudioSource.Play","Image;Button;DHM;ButtonSound",""
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/Button111","(175.9, 395.7)","(64.2, 34.7)",3,0,"Kaiqi.Click;guanbi.Click;AudioSource.Play","Image;Button;ButtonSound;guanbi;Kaiqi","Canvas/RawImage 2/RawImage 1/RawImage 10"
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button","(321.2, 238.9)","(550.2, 467.8)",0,0,"","Image;Button;ButtonSound",""
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button 1","(285.1, 153.8)","(59.1, 24.9)",2,0,"OGD.GoNextScene;AudioSource.Play","Image;Button;ButtonSound;OGD",""
Loading,False,True,"Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button 2","(364.2, 153.8)","(58.3, 24.9)",2,0,"AudioSource.Play;guanbi.Click","Image;Button;ButtonSound;guanbi",""
Loading,True,True,"Canvas/RawImage 2/RawImage/Button","(420.6, 73.1)","(78.2, 13.4)",1,0,"Loading1.GoNextScene","Image;Button;Loading1;ButtonSound",""
Loading,True,True,"Canvas/RawImage 2/RawImage/Button 1","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/123","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 1","(480.9, 192.1)","(103.4, 287.4)",1,0,"Shenghua.GoNextScene","Image;Button;ButtonSound;Shenghua",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 11","(515.2, 390.4)","(25.2, 29.3)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 2"
