scene,path,clip,playOnAwake,enabled,loadInBackground,preloadAudioData,behaviours
"Pyramid","BGM","sun - 一天一天（钢琴版） _mqms_",False,True,False,True,"GenesisDeferredAudioSource:True"
"Pyramid","开场","开场女音效",False,True,False,True,"GenesisDeferredAudioSource:True"
"Pyramid","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"Pyramid","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"NewConstructionSite","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"NewConstructionSite","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"NewConstructionSite","GenesisConstructionAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
"BiochemicalTown","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"BiochemicalTown","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"BiochemicalTown","GenesisBiochemicalAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
"ClassicConstructionSite","Audio Source","开场男声音",False,True,False,True,"GenesisDeferredAudioSource:True"
"ClassicConstructionSite","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"ClassicConstructionSite","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"ClassicConstructionSite","GenesisClassicAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
"SteelFactory","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"SteelFactory","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"SteelFactory","GenesisSteelFactoryAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
"IceFireMaze","Audio_jump","jump",False,True,False,True,""
"IceFireMaze","拉栓","AK切枪",False,True,False,True,"GenesisDeferredAudioSource:True"
"IceFireMaze","Audio_move","Audio_move",False,True,False,True,""
"IceFireMaze","开场","开场女音",False,True,False,True,"GenesisDeferredAudioSource:True"
"IceFireMaze","Audio_emp","",False,True,False,False,""
"IceFireMaze","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"IceFireMaze","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"IceFireMaze","GenesisIceFireAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
"RadiationDistrict","First Person Player/Audio Source","Round_Start.",False,True,False,True,"GenesisDeferredAudioSource:True"
"RadiationDistrict","Audio Source","aniu2",False,True,False,True,"GenesisDeferredAudioSource:True"
"RadiationDistrict","GenesisRadiationAmbience","",False,True,False,False,"GenesisProceduralAmbient:True"
