## SteelFactory
spawn=(170.67, -65.34, 85.33)
rotation=(0.00000, 0.79270, 0.00000, 0.60961)
cameraForward=(0.97, 0.00, -0.26)
renderers=218
Nearby renderers:
- 1/rdmobj159 distance=0.00 center=(142.74, -53.63, 80.00) size=(80.00, 26.00, 48.00) materials=SteelStructure [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructure.mat; shader=Standard; texture=SteelStructurePattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructurePattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj161 distance=1.28 center=(142.74, -66.63, 80.00) size=(80.00, 0.00, 48.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj186 distance=12.14 center=(186.74, -66.63, 81.00) size=(8.00, 0.00, 18.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj199 distance=13.01 center=(190.74, -66.63, 97.00) size=(16.00, 0.00, 14.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj173 distance=18.03 center=(186.74, -66.63, 64.00) size=(8.00, 0.00, 16.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj185 distance=20.08 center=(190.74, -62.63, 80.00) size=(0.00, 8.00, 16.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj174 distance=20.12 center=(218.74, -66.63, 65.50) size=(56.00, 0.00, 45.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj196 distance=20.25 center=(190.74, -59.63, 89.00) size=(0.00, 14.00, 2.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj202 distance=20.61 center=(194.74, -59.63, 90.00) size=(8.00, 14.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj184 distance=21.17 center=(191.74, -58.63, 80.00) size=(2.00, 0.00, 16.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj183 distance=21.34 center=(191.74, -55.63, 88.00) size=(2.00, 6.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
