scene,button,path,active,canvasX,canvasY,width,height,graphic,persistentCalls
"Assets/Scenes/Loading1.unity","123","Canvas/123",true,0,0,800,601,"UISprite",""
"Assets/Scenes/Loading1.unity","Button 1","Canvas/Button 1",true,60.05,-174.6,79.5,31.6,"UISprite","Quit.Click"
"Assets/Scenes/Loading1.unity","Button","Canvas/Button",true,-29.8,-174.6,79.5,31.6,"UISprite","Loading1.GoNextScene"
"Assets/Scenes/Loading.unity","Button111","Canvas/RawImage 2/RawImage 1/RawImage 9/Button111",false,1.58,-88.17,63.98,30,"UISprite","DHM.OnButton;AudioSource.Play"
"Assets/Scenes/Loading.unity","128","Canvas/RawImage 2/RawImage 1/RawImage 9/128",false,1.5,-1.32,550.2,467.82,"UISprite",""
"Assets/Scenes/Loading.unity","Button111","Canvas/RawImage 2/RawImage 1/RawImage 9/Button111",false,-180.11,194.67,64.22,34.68,"UISprite","Kaiqi.Click;guanbi.Click;AudioSource.Play"
"Assets/Scenes/Loading.unity","Button111","Canvas/RawImage 2/RawImage 1/RawImage 10/Button111",true,-115.93,195.17,62.8,33.68,"UISprite","Kaiqi.Click;guanbi.Click"
"Assets/Scenes/Loading.unity","Button 1","Canvas/RawImage 2/RawImage/Button 1",true,1.56,-1.13,550.47,468.37,"UISprite",""
"Assets/Scenes/Loading.unity","128","Canvas/RawImage 2/RawImage 1/RawImage 10/128",true,1.5,-1.31,550.2,467.82,"UISprite",""
"Assets/Scenes/Loading.unity","Button 2","Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button 2",false,55.29,-107.78,58.26,24.86,"UISprite","AudioSource.Play;guanbi.Click"
"Assets/Scenes/Loading.unity","Button","Canvas/RawImage 2/RawImage/Button",true,125.77,-208.65,78.17,13.43,"UISprite","Loading1.GoNextScene"
"Assets/Scenes/Loading.unity","Button 1","Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button 1",false,-43.6,-107.78,59.07,24.86,"UISprite","OGD.GoNextScene;AudioSource.Play"
"Assets/Scenes/Loading.unity","Button111","Canvas/RawImage 2/RawImage 1/RawImage 9/Button111",false,202.48,197.42,28.52,26.14,"UISprite","<missing>.;Zhu.GoNextScene"
"Assets/Scenes/Loading.unity","Button111","Canvas/RawImage 2/RawImage 1/RawImage 10/Button111",true,202.48,197.42,28.52,26.14,"UISprite","<missing>.;Zhu.GoNextScene"
"Assets/Scenes/Loading.unity","Button","Canvas/RawImage 2/RawImage 1/RawImage 9/RawImage/Button",false,1.5,-1.32,550.2,467.82,"UISprite",""
"Assets/Scenes/CXG1.unity","123","Canvas/123",false,0,0,0,0,"UISprite",""
"Assets/Scenes/CXG1.unity","123","Canvas 1/123",false,0,0,0,0,"UISprite",""
"Assets/Scenes/CXG1.unity","Button 17","Canvas 1/Button 17",false,0,0,0,0,"UISprite","Fangjian.GoNextScene"
"Assets/Scenes/CXG1.unity","Button 17","Canvas/Button 17",false,0,0,0,0,"UISprite","Fangjian.GoNextScene"
"Assets/Scenes/CXG1.unity","Button 0","Canvas 1/Button 0",false,0,0,0,0,"UISprite","JiXu3.Click"
"Assets/Scenes/CXG1.unity","Button 0","Canvas/Button 0",false,0,0,0,0,"UISprite","JiXu1.Click"
"Assets/Scenes/CXG2.unity","123","Canvas/123",false,0,0,0,0,"UISprite",""
"Assets/Scenes/CXG2.unity","123","Canvas 1/123",false,0,0,0,0,"UISprite",""
"Assets/Scenes/CXG2.unity","Button 17","Canvas 1/Button 17",false,0,0,0,0,"UISprite","Fanliedao.GoNextScene"
"Assets/Scenes/CXG2.unity","Button 17","Canvas/Button 17",false,0,0,0,0,"UISprite","Fanliedao.GoNextScene"
"Assets/Scenes/CXG2.unity","Button 0","Canvas 1/Button 0",false,0,0,0,0,"UISprite","JiXu3.Click"
"Assets/Scenes/CXG2.unity","Button 0","Canvas/Button 0",false,0,0,0,0,"UISprite","JiXu1.Click"
