scene,root,components,renderers,colliders,children
"Assets/Scenes/Loading1.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Loading1.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Loading1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Loading1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,8
"Assets/Scenes/Loading.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Loading.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Loading.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Loading.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,29
"Assets/Scenes/CXG1.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/CXG1.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/CXG1.unity","First Person Player","Transform;CharacterController;Music;PlayMove;Tab;Sound2;StopGame1;xiao;daojishi;Music1;Esc;BoxCollider",0,2,3
"Assets/Scenes/CXG1.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/CXG1.unity","场景","Transform;MeshFilter;SphereCollider;MeshRenderer",285,274,286
"Assets/Scenes/CXG1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/CXG1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,3
"Assets/Scenes/CXG1.unity","END","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,3
"Assets/Scenes/CXG1.unity","Canvas 1","RectTransform;Canvas;CanvasScaler;GraphicRaycaster;AudioListener",0,0,5
"Assets/Scenes/CXG1.unity","Canvas","RectTransform;Canvas",0,0,13
"Assets/Scenes/CXG1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/CXG2.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/CXG2.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/CXG2.unity","场景","Transform;MeshFilter;SphereCollider;MeshRenderer",285,274,286
"Assets/Scenes/CXG2.unity","First Person Player","Transform;CharacterController;Music;PlayMove;Tab;Sound2;StopGame1;xiao;daojishi;Music1;Esc;BoxCollider",0,2,3
"Assets/Scenes/CXG2.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/CXG2.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/CXG2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,3
"Assets/Scenes/CXG2.unity","END","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,3
"Assets/Scenes/CXG2.unity","Canvas 1","RectTransform;Canvas;CanvasScaler;GraphicRaycaster;AudioListener",0,0,5
"Assets/Scenes/CXG2.unity","Canvas","RectTransform;Canvas",0,0,13
"Assets/Scenes/CXG2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/CXG3.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/CXG3.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/CXG4.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/CXG4.unity","场景","Transform;MeshFilter;SphereCollider;MeshRenderer",265,253,265
"Assets/Scenes/CXG4.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound;StopGame",0,1,3
"Assets/Scenes/CXG4.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/CXG4.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/CXG4.unity","Canvas","RectTransform;Canvas",0,0,12
"Assets/Scenes/CXG4.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/XLC.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/XLC.unity","Cylinder","Transform;MeshFilter;CapsuleCollider;MeshRenderer",1,1,1
"Assets/Scenes/XLC.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/XLC.unity","New Text 4","Transform;MeshRenderer;TextMesh",1,0,1
"Assets/Scenes/XLC.unity","New Text 3","Transform;MeshRenderer;TextMesh",1,0,1
"Assets/Scenes/XLC.unity","First Person Player","Transform;CharacterController;Music1;PlayerMovement;Sound2;StopGameXLC",0,1,4
"Assets/Scenes/XLC.unity","New Text 6","Transform;MeshRenderer;TextMesh",1,0,1
"Assets/Scenes/XLC.unity","Cube 1","Transform;MeshFilter;BoxCollider;MeshRenderer",30,25,30
"Assets/Scenes/XLC.unity","New Text 5","Transform;MeshRenderer;TextMesh",1,0,1
"Assets/Scenes/XLC.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/XLC.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi1.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Gongdi1.unity","屋顶","Transform",24,24,49
"Assets/Scenes/Gongdi1.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/Gongdi1.unity","墙","Transform",20,20,21
"Assets/Scenes/Gongdi1.unity","房子","Transform",24,24,25
"Assets/Scenes/Gongdi1.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound2;Stop;Test4",0,1,4
"Assets/Scenes/Gongdi1.unity","GameObject","Transform",8,8,9
"Assets/Scenes/Gongdi1.unity","栏","Transform",12,12,13
"Assets/Scenes/Gongdi1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Gongdi1.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Gongdi1.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/Gongdi1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/Zhu.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Zhu.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Zhu.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Zhu.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Zhu.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,153
"Assets/Scenes/Ziyou.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Ziyou.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Ziyou.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Ziyou.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Ziyou.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,149
"Assets/Scenes/TianTi.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/TianTi.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/TianTi.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/TianTi.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/TianTi.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,227
"Assets/Scenes/Shenghua.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Shenghua.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Shenghua.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Shenghua.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Shenghua.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,149
"Assets/Scenes/Ziyou1.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Ziyou1.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Ziyou1.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Ziyou1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Ziyou1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,148
"Assets/Scenes/Chuangjian.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Chuangjian.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Chuangjian.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Chuangjian.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,49
"Assets/Scenes/Fangjian.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Fangjian.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Fangjian.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Fangjian.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Fangjian.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,135
"Assets/Scenes/Fanliedao.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Fanliedao.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/Fanliedao.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Fanliedao.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Fanliedao.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,135
"Assets/Scenes/TianTi1.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/TianTi1.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/TianTi1.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/TianTi1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/TianTi1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,130
"Assets/Scenes/TianTi2.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/TianTi2.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/TianTi2.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/TianTi2.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/TianTi2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,130
"Assets/Scenes/True XLC.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/True XLC.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/True XLC.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/True XLC.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/True XLC.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,7
"Assets/Scenes/TuiChu.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/TuiChu.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/TuiChu.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/TuiChu.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Jidixiaozhen.unity","雷霆战警","Transform",186,186,187
"Assets/Scenes/Jidixiaozhen.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Jidixiaozhen.unity","Cube 50","Transform;MeshFilter;BoxCollider;MeshRenderer",1,1,1
"Assets/Scenes/Jidixiaozhen.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound2;Stop",0,1,4
"Assets/Scenes/Jidixiaozhen.unity","dust2","Transform;Animator",136,0,139
"Assets/Scenes/Jidixiaozhen.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Jidixiaozhen.unity","Plane 1","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/Jidixiaozhen.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Jidixiaozhen.unity","Canvas","RectTransform;Canvas",0,0,8
"Assets/Scenes/Jidixiaozhen.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi2.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Gongdi2.unity","屋顶","Transform",24,24,49
"Assets/Scenes/Gongdi2.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/Gongdi2.unity","墙","Transform",20,20,21
"Assets/Scenes/Gongdi2.unity","房子","Transform",24,24,25
"Assets/Scenes/Gongdi2.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound2;Stop;Test4",0,1,4
"Assets/Scenes/Gongdi2.unity","GameObject","Transform",8,8,9
"Assets/Scenes/Gongdi2.unity","栏","Transform",12,12,13
"Assets/Scenes/Gongdi2.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Gongdi2.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Gongdi2.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/Gongdi2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/FanjianGD.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianGD.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianGD.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianGD.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianGD.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,140
"Assets/Scenes/FanjianGDdao.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianGDdao.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianGDdao.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianGDdao.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianGDdao.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,140
"Assets/Scenes/FanjianGDlie.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianGDlie.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianGDlie.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianGDlie.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianGDlie.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,139
"Assets/Scenes/FanjianGDliedao.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianGDliedao.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianGDliedao.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianGDliedao.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianGDliedao.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,139
"Assets/Scenes/Gongdi3.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Gongdi3.unity","屋顶","Transform",24,24,49
"Assets/Scenes/Gongdi3.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/Gongdi3.unity","墙","Transform",20,20,21
"Assets/Scenes/Gongdi3.unity","房子","Transform",24,24,25
"Assets/Scenes/Gongdi3.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound1;StopGame;Test4",0,1,4
"Assets/Scenes/Gongdi3.unity","GameObject","Transform",8,8,9
"Assets/Scenes/Gongdi3.unity","栏","Transform",12,12,13
"Assets/Scenes/Gongdi3.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Gongdi3.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Gongdi3.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/Gongdi3.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi3.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/Gongdi4.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/Gongdi4.unity","屋顶","Transform",24,24,49
"Assets/Scenes/Gongdi4.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/Gongdi4.unity","墙","Transform",20,20,21
"Assets/Scenes/Gongdi4.unity","房子","Transform",24,24,25
"Assets/Scenes/Gongdi4.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound1;StopGame;Test4",0,1,4
"Assets/Scenes/Gongdi4.unity","GameObject","Transform",8,8,9
"Assets/Scenes/Gongdi4.unity","栏","Transform",12,12,13
"Assets/Scenes/Gongdi4.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/Gongdi4.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/Gongdi4.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/Gongdi4.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/Gongdi4.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/ZuQiuChang.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/ZuQiuChang.unity","墙遮","Transform",4,4,5
"Assets/Scenes/ZuQiuChang.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/ZuQiuChang.unity","阵营图标","Transform",2,1,4
"Assets/Scenes/ZuQiuChang.unity","灯 1","Transform",8,0,21
"Assets/Scenes/ZuQiuChang.unity","球门 1","Transform",130,130,131
"Assets/Scenes/ZuQiuChang.unity","球门","Transform",130,130,131
"Assets/Scenes/ZuQiuChang.unity","灯 3","Transform",4,0,11
"Assets/Scenes/ZuQiuChang.unity","灯 2","Transform",4,0,11
"Assets/Scenes/ZuQiuChang.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound2;Stop;Test4",0,1,4
"Assets/Scenes/ZuQiuChang.unity","灯","Transform",8,0,21
"Assets/Scenes/ZuQiuChang.unity","围墙","Transform",116,116,117
"Assets/Scenes/ZuQiuChang.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/ZuQiuChang.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/ZuQiuChang.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/ZuQiuChang.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/ZuQiuChang.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/ZuQiuChang2.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/ZuQiuChang2.unity","墙遮","Transform",4,4,5
"Assets/Scenes/ZuQiuChang2.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/ZuQiuChang2.unity","阵营图标","Transform",2,1,4
"Assets/Scenes/ZuQiuChang2.unity","灯 1","Transform",8,0,21
"Assets/Scenes/ZuQiuChang2.unity","球门 1","Transform",130,130,131
"Assets/Scenes/ZuQiuChang2.unity","球门","Transform",130,130,131
"Assets/Scenes/ZuQiuChang2.unity","灯 3","Transform",4,0,11
"Assets/Scenes/ZuQiuChang2.unity","灯 2","Transform",4,0,11
"Assets/Scenes/ZuQiuChang2.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Sound2;Stop;Test4",0,1,4
"Assets/Scenes/ZuQiuChang2.unity","灯","Transform",8,0,21
"Assets/Scenes/ZuQiuChang2.unity","围墙","Transform",116,116,117
"Assets/Scenes/ZuQiuChang2.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/ZuQiuChang2.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/ZuQiuChang2.unity","Canvas","RectTransform;Canvas",0,0,9
"Assets/Scenes/ZuQiuChang2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/ZuQiuChang2.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/FanjianZu.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianZu.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianZu.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianZu.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianZu.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,138
"Assets/Scenes/FanjianZulie.unity","Directional Light","Transform;Light",0,0,1
"Assets/Scenes/FanjianZulie.unity","Main Camera","Transform;Camera;FlareLayer;AudioListener",0,0,1
"Assets/Scenes/FanjianZulie.unity","Audio Source","Transform;AudioSource",0,0,1
"Assets/Scenes/FanjianZulie.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/FanjianZulie.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,138
"Assets/Scenes/GDold1.unity","地面物体","Transform",15,15,16
"Assets/Scenes/GDold1.unity","石梯","Transform",8,4,15
"Assets/Scenes/GDold1.unity","电箱+门","Transform",6,4,8
"Assets/Scenes/GDold1.unity","Plane","Transform;MeshFilter;MeshCollider;MeshRenderer",1,1,1
"Assets/Scenes/GDold1.unity","Audio Source","Transform;AudioSource;AudioListener",0,0,1
"Assets/Scenes/GDold1.unity","墙灯","Transform",8,8,17
"Assets/Scenes/GDold1.unity","房子 1","Transform",144,144,186
"Assets/Scenes/GDold1.unity","路灯","Transform",33,2,62
"Assets/Scenes/GDold1.unity","First Person Player","Transform;CharacterController;Music1;Music;PlayerMovement;Tab;Test4;Stop1",0,1,4
"Assets/Scenes/GDold1.unity","GameObject","Transform",7,0,8
"Assets/Scenes/GDold1.unity","EventSystem","Transform;EventSystem;StandaloneInputModule;TouchInputModule",0,0,1
"Assets/Scenes/GDold1.unity","房檐","Transform",4,4,5
"Assets/Scenes/GDold1.unity","栏","Transform",14,14,15
"Assets/Scenes/GDold1.unity","GameObject 2","Transform",10,4,13
"Assets/Scenes/GDold1.unity","彩蛋","Transform",37,37,48
"Assets/Scenes/GDold1.unity","墙","Transform",12,12,15
"Assets/Scenes/GDold1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,5
"Assets/Scenes/GDold1.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/Scenes/GDold1.unity","Canvas","RectTransform;Canvas",0,0,8
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AppeatB","Transform",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AddBlood (1)","Transform;MeshFilter;BoxCollider;MeshRenderer",1,1,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AppeatHY","Transform",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","EventSystem","Transform;EventSystem;StandaloneInputModule",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AddBlood (2)","Transform;MeshFilter;BoxCollider;MeshRenderer",1,1,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","FPSController","Transform;CharacterController;Rigidbody;AudioSource",3,1,7
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AppeatBM","Transform",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","Directional Light","Transform;Light",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","dast","Transform",174,176,177
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AppeatA","Transform",0,0,1
